month,prob_still_closed,non_hormuz_share_p50,unmet_p50,spr_draw_p50,commercial_mb_p50,total_spr_mb_p50,national_spr_mb_p50,private_spr_mb_p50,usdjpy_p50,usdjpy_p10,usdjpy_p90,jp10y_p50,us10y_p50,boj_rate_p50,phase1_repat_prob,phase2_repat_prob,cum_unmet_mb_p50
2026-06,0.93265,0.7126730078504971,0.8964839530901006,0.49306617419955534,30.198615714933347,657.1680147740133,401.72520960310874,249.16280517090468,159.62115291047814,157.31065095220043,161.55415612585193,2.761718245078476,4.614717154882099,0.75,0.3002,0.0378,26.89451859270302
2026-07,0.8518,0.7362720539689553,0.8170414589145165,0.44937280240298405,19.432647494619882,643.7006592917334,392.9714285396267,244.44923075210667,158.51540866558884,154.28266303597638,161.55778528037283,2.8046360025665624,4.656337878784067,0.75,0.51245,0.10465,51.38061946957585
2026-08,0.7599,0.7625327555408083,0.7287592924949537,0.40233584832434266,9.930965665165882,631.6261941963944,385.1230262276564,240.22316796873804,156.58860045600312,150.27208928758387,160.99485235084703,2.852020845176067,4.716000040126742,0.85,0.6883,0.20655,73.28016991302218
2026-09,0.6563,0.7911895493494376,0.6348372173249324,0.37716041853316484,1.525906398696213,620.0369632374557,377.59002610434624,236.1669371331095,153.92922998351327,145.30178853270723,159.84708138203214,2.900293497072478,4.794186921449833,0.85,0.81105,0.32415,92.57871980450355
2026-10,0.55725,0.827305767063524,0.5214216293915975,0.43519315109064916,0.2999999999999996,605.5706333109256,368.1869116521017,231.10372165882393,150.5881652304144,140.0,158.06778696248276,2.948313112210048,4.887956539474343,0.95,0.8924,0.45155,109.4602863272301
2026-11,0.46199999999999997,0.8498954965648241,0.44794813010206347,0.4067835001770036,0.4501474836057131,591.2971659800791,358.9091578870514,226.10800809302765,146.5434869628417,140.0,155.737514996105,3.001044882170536,5.000373570954765,0.95,0.9427,0.5687,123.93095960097148
2026-12,0.37575000000000003,0.8633190158440218,0.4037482760954982,0.369743320050039,0.5214674090311548,579.0293641395388,350.93508669070025,221.8142774488386,141.91487816863372,140.0,152.81110181981762,3.058135019293833,5.130532327536441,1.0,0.972,0.67835,136.32353680329163
2027-01,0.29484999999999995,0.8688522803188259,0.38288363057492447,0.35273101064182777,0.5497515865490968,568.2676677907084,343.9399840639605,218.0476837267479,140.0,140.0,149.34463538024957,3.117362449575885,5.282075722487752,1.1,0.98705,0.7742,147.1742567296759
2027-02,0.22445000000000004,0.8726222280835457,0.3680274518067982,0.34221472563370925,0.5638016690027425,558.1479421938757,337.36216242601927,214.5057797678565,140.0,140.0,145.38413068218284,3.17950313913376,5.431853143120961,1.1500000000000001,0.99535,0.85185,157.69524458502048
